question,answer,expectedResult,guidance
"Erläutere, welche Umweltbedingungen und welche typischen Baumarten in einem Auwald anzutreffen sind.","An Flüssen kommt es oft zu überschwemmungen und da liegen Auwälder. Das Grundwasser liegt relativ weit oben, Schlämme bringen Mineralsalze und Nährstoffe in den Wald ein. Hier wachsen Arten, die gut mit viel Wasser zurechtkommen, wie die Ulme. ",partially,"Evaluation Criteria: Der Schüler erläutert mindestens zwei Umweltbedingungen aus den folgenden (jeweils mit kurzer Begründung oder Erklärung): Regelmäßige Überschwemmungen: Auwälder liegen an Flüssen, die regelmäßig über die Ufer treten. Hoher Grundwasserspiegel: Das Grundwasser liegt dicht unter der Oberfläche und versorgt die Pflanzen dauerhaft mit Feuchtigkeit. Eintrag von Schlämmen: Überschwemmungen bringen mineralstoffreiche Schlämme mit, die den Boden mit Nährstoffen und Mineralsalzen anreichern. Feuchtes und kühles Klima: Durch die Nähe zum Wasser ist es im Auwald eher kühl und dauerhaft feucht. Mineralsalzreicher Boden: Der Boden enthält viele gelöste Salze, die durch Hochwasser eingetragen werden und das Pflanzenwachstum fördern. Außerdem nennt der Schüler mindestens eine typische Baumart aus den folgenden: Schwarzerle (typisch für feuchte, staunasse Böden) Salweide Esche Spitzahorn Bergahorn Birke Ulme Stieleiche. Sample Solution: Auwälder liegen an Flüssen, an denen es regelmäßig zu Überschwemmungen kommen kann. Das Grundwasser liegt relativ weit oben, Schlämme bringen Mineralsalze und Nährstoffe in den Wald ein. Hier wachsen Arten, die gut mit Staunässe zurecht kommen wie die Schwarzerle."
"Beurteile die Maßnahme, stark gefährdete Arten durch künstliche Zuchtprogramme zu erhalten.",Ich finde Zuchtprogramme persönlich schwierig. Man sollte nicht züchten.,incorrect,"Evaluation Criteria: Der Schüler nimmt eine nachvollziehbare und begründete Position ein (entweder befürwortend oder ablehnend).

Es wird mindestens ein schlüssiges Argument genannt, das zur gewählten Position passen.

Die folgenden Argumente aus dem Lehrbuch können genannt werden, müssen aber nicht zwingend verwendet werden – auch andere fachlich richtige Überlegungen sind zulässig, wenn sie sinnvoll begründet sind.

Mögliche Argumente für künstliche Zuchtprogramme:
– Die Arten sind meist durch menschliches Handeln gefährdet oder ausgestorben (z. B. Jagd, Lebensraumzerstörung).
– Zucht kann das Aussterben verhindern.
– Arten sind ökologisch vernetzt, das Aussterben einer Art kann andere gefährden.

Mögliche Argumente gegen künstliche Zuchtprogramme:
– Hoher finanzieller und personeller Aufwand.
– Geringe genetische Vielfalt bei Restpopulationen → Krankheiten verbreiten sich leichter.
– Die Art ist bereits zu stark dezimiert, um langfristig überlebensfähig zu sein.. Sample Solution: Ich finde, künstliche Zuchtprogramme sind zu befürworten, weil viele Arten durch den Menschen gefährdet oder ausgestorben sind – zum Beispiel durch Jagd oder die Zerstörung ihres Lebensraums. Mit solchen Programmen kann man versuchen, eine Art vor dem Aussterben zu retten. Außerdem sind alle Arten in einem Ökosystem miteinander verknüpft – wenn eine Art verschwindet, kann das auch andere Arten gefährden."
Gib den Reaktionsort für die Zellatmung an.,Mitochondrien,correct,Evaluation Criteria: Nennt den Reaktionsort der Zellatmung in ganzem Satz oder als Stichpunkt: Mitochondrien. . Sample Solution: Die Reaktionen finden in den Mitochondrien statt.
Vergleiche die Ökosysteme See und Teich miteinander. ,"Seen sind natürlich und Teiche künstlich, aber beide haben Süßwasser. ",correct,"Evaluation Criteria: Der Schüler nennt mindestens zwei korrekte Merkmale zum Vergleich von See und Teich, darunter: Beide sind stehende Süßgewässer; Teiche sind künstlich angelegt, Seen natürlich entstanden; Teiche sind flacher und lichtdurchlässig bis zum Boden, Seen sind tiefer und das Licht dringt nicht bis zum Grund.. Sample Solution: Bei beiden Gewässern handelt es sich um Süßwasser und um stehende Gewässer.         
Teiche werden vom Menschen angelegt, sie sind also künstlich entstanden. Seen sind         
ursprünglich natürliche Gewässer. Teiche sind flacher, das Sonnenlicht dringt bis         
zum Gewässerboden durch. Seen sind tiefer. "
Nenne 2 Gattungen der rezente Arten von Menschenaffen (Hominiden). ,Schimpanse.,partially,"Evaluation Criteria: Nennt mindestens 2 Arten der rezente Hominiden: Gorillas, Orang-Utans, Schimpansen, Menschen. Sample Solution: Noch lebende Arten sind Gorillas und Schimpansen."
"Erläutere vier Merkmale, die alle Primaten gemeinsam haben. ",Alle Primaten haben eine Greifhand und ein Gebiss mit 40 Zähnen. Außerdem kümmern sie sich alle sehr lange um ihre Junge und haben große Gehirne. ,correct,"Evaluation Criteria: Nennt folgende oder weitere Aufgabenbezogene Kriterien (aber mindestens 4):  
Hände mit abspreizbarem Daumen → Greifhand  
fünfgliedrige Hände und Füße 
gutes Sehen, Sehen vieler Farben möglich
Augen zeigen nach vorn → dreidimensionales Sehen
Gebiss mit 40 Zähnen
relativ großes Gehirn im Vergleich zu anderen Säugetieren
relativ lange Trächtigkeit, Nachwuchs wird lange betreut, Jungtiere sind Traglinge. Sample Solution: Alle Primaten haben bestimmte gemeinsame Merkmale. Sie besitzen Hände mit einem abspreizbaren Daumen, was man Greifhände nennt. Außerdem haben sie fünf Finger und fünf Zehen, also fünfgliedrige Hände und Füße. Ihre Augen sind nach vorne gerichtet, dadurch können sie dreidimensional sehen, was zum Beispiel beim Klettern in Bäumen hilft. Primaten haben auch ein gutes Sehvermögen und können viele Farben unterscheiden. Im Vergleich zu anderen Säugetieren haben sie ein relativ großes Gehirn, was ihnen beim Lernen und Denken hilft. Ein weiteres wichtiges Merkmal ist, dass der Nachwuchs lange im Bauch der Mutter heranwächst und nach der Geburt lange betreut wird. Die Jungtiere sind oft Traglinge und klammern sich an die Mutter."
"Australopithecus afarensis besiedelte Steppen und offene Savannenlandschaften in Ost- und Südafrika. Stelle zwei begründete Vermutungen auf, welchen Einfluss die Umwelt auf die Entstehung des aufrechten Ganges gehabt haben könnte.  ","Es wird vermutet, dass die Sonneneinstrahlung geringer war bei einem aufrechten Gang, was Vorteile in der heißen Savanne gebracht hat, weil die Oberfläche des Körpers nicht so exponiert war. Eine andere Vermutung ist, dass sie in der offenen Savanne Räuber besser sehen konnten, da sie ja über das Gras blicken konnten und Feine können so viel besser erkannt werden. Auch Beute, also Nahrung kann man so eher erkennen, was auch ein Vorteil war. ",correct,"Evaluation Criteria: Es sollen mindestens 2 schlüssig begründete Hypothesen aufgestellt werden, welchen Einfluss die Umwelt auf die Entstehung des aufrechten Ganges gehabt haben könnte. Die folgenden Beispiele können verwendet werden, es sind aber auch andere passende, aufgabenbezogene Vermutungen zulässig: In der offenen Landschaft konnten Räuber und Feinde besser erkannt werden. Bei aufrechtem Gang war die Sonneneinstrahlung geringer, was in der heißen Savanne vorteilhaft war. Nahrung wie Aas oder Früchte an Bäumen konnte besser gesehen und erreicht werden.. Sample Solution: Eine Hypothesre oder Vermutung ist, dass der aufrechte Gang geholfen hat, Raubtiere und andere Feinde früher zu entdecken. In der offenen Savanne gibt es nicht viele Verstecke, deshalb war es ein Vorteil, wenn man weiter in die Ferne schauen konnte, um Gefahren rechtzeitig zu erkennen und zu fliehen.
Eine zweite Vermutung ist, dass der aufrechte Gang bei der Hitze in der Savanne geholfen hat, weil dann weniger Körperfläche direkt von der Sonne bestrahlt wird. Wenn man aufrecht steht, trifft die Sonne vor allem den Kopf und nicht den ganzen Rücken. So konnte Australopithecus afarensis besser mit der hohen Temperatur klarkommen."
"Ordne folgende Primaten nach dem Grad ihrer Verwandtschaft zum Menschen. Beginne mit unserem nächsten Verwandten. Gegeben sind Lori, Schimpanse, Koboldmaki, Gorilla, Orang-Utan und Gibbon.",Mensch – Gorilla – Schimpanse – Orang-Utan – Gibbon – Lori – Koboldmaki,partially,"Evaluation Criteria: Zählt die Primaten Lori, Schimpanse, Koboldmaki, Gorilla, Orang-Utan und Gibbon in der richtigen Reihenfolge  gemäß dem Verwandtschaftsgrad zum Menschen auf: Mensch – Schimpanse – Gorilla – Orang-Utan – Gibbon – Koboldmaki – Lori. Sample Solution: Der nächste Verwandte des Menschen ist der Schimpanse, danach kommt der Gorilla. Als Nächstes folgt der Orang-Utan, dann der Gibbon. Weiter entfernt verwandt ist der Koboldmaki und am wenigsten verwandt mit dem Menschen ist der Lori. Also die Reihenfolge ist: Mensch – Schimpanse – Gorilla – Orang-Utan – Gibbon – Koboldmaki – Lori."
"Es gibt Menschen, bei denen sich bei der Geburt ein Loch in der Herzscheidewand nicht schließt. Vermute begründet, welche Auswirkungen dies auf den Blutkreislauf und die Leistungsfähigkeit des Menschen hat.",Weiß nicht. ,incorrect,"Evaluation Criteria: Stellt passende Vermutungen auf und begründet sie bezogen auf mindestens die Auswirkungen auf den Blutkreislauf und die Leistungsfähigkeit. . Sample Solution: Durch das Loch in der Herzscheidewand könnte sich das sauerstoffreiche Blut der linken Herzhälfte mit dem sauerstoffarmen Blut aus der rechten Herzhälfte vermischen. Der Sauerstofftransport ist erschwert und es könnte zu einer verminderten Leistungsfähigkeit der Person kommen. Auch kann das Herz überbelastet werden, um den Defekt auszugleichen. "
"Welche Folgen können für den Körper durch Sauerstoffmangel entstehen? Nenne jeweils ein Symptom bei leichtem, mittleren und schweren Sauerstoffmangel.","Sauerstoffmangel führt erstmal zu Kopfschmerzen und Müdigkeit, wenn man viel Mangel hat, dann kann das Gehirn geschädigt werden. Ohne Sauerstoff sterben wir, also führt es irgendwann zum Tod.",partially,"Evaluation Criteria: Richtige Nennung körperlicher Symptome z. B. Müdigkeit, Schwindel, Kopfschmerzen, Atemnot → mind. 1 Beispiel erforderlich, Erklärung der Auswirkungen auf Organe Gehirn/Herz können Schaden nehmen → zeigt Verständnis biologischer Zusammenhänge, Hinweis auf mögliche schwerwiegende Folgen z. B. „kann zu Ohnmacht oder sogar zum Tod führen“ → zeigt, dass das Ausmaß erkannt wird. Sample Solution: Bei leichtem Sauerstoffmangel wird man müde, schwindlig oder kriegt Kopfschmerzen. Bei starkem Mangel nehmen Organe wie Herz und Gehirn Schade und im schlimmsten Fall kann man daran sogar sterben."
Ben ist oft sehr krank. Bereits ein kleiner Schnupfen haut ihn richtig um. Seine Mutter macht sich Sorgen und lässt sein Blut untersuchen. Welche Blutkörperchen würdest du dir genauer anschauen?,Die weißen Blutkörperchen sind für die Immunabwehr verantwortlich. Deswegen hat Ben wahrscheinlich zu wenige davon.,partially,"Evaluation Criteria: Nennt die Leukozyten (weiße Blutkörperchen) als korrekten Grund für die schlechte Immunabwehr von Ben und erklärt, dass diese für die Immunabwehr verantwortlich sind.. Sample Solution: Ich glaube es liegt an den Leukozyten, weil die für unsere Immunabwehr verantwortlich sind. Menschen, die ein schlechtes Immunsystem haben, könnten zu viele oder zu wenig Leukozyten im Blut haben."
Nenne 3 heimische Nadelbaumarten. ,"Kiefer, Fichte, Tanne",correct,Evaluation Criteria: . Sample Solution: 
In welchen Zellorganellen findet die Fotosynthese statt?,In der Zellwand.,incorrect,Evaluation Criteria: . Sample Solution: Chloroplasten
Schreibe die Wortgleichung der Fotosynthese auf. ,Lichtenergie + Kohlenstoffdioxid + Wasser → Sauerstoff + Traubenzucker (Glucose),correct,"Evaluation Criteria: Schreibt die Wortgleichung im ganzen Satz ausformuliert oder mit +-Zeichen. Das Hinschreibend er chemischen Gleichung ist ebenfalls korrekt, es soll nur in diesem Fall der Hinweis gegeben werden, dass der Schüler die chemische Gleichung, statt die Wortgleichung geschrieben hat. . Sample Solution: "
Definiere den Begriff Erneuerbare Energien. Nenne ein Beispiel.,,incorrect,"Evaluation Criteria: Definiert den Begriff ernuerbare Energien treffen (gehen nie aus, theoretisch unendlich verfügbar) und nennt mindestens ein Beispiel. . Sample Solution: Erneuerbare Energien sind Energiequellen, die nie ausgehen, weil sie sich ständig von selbst erneuern, wie zum Beispiel Sonnenenergie. Mit Hilfe von Solarzellen kann man Sonnenlicht in Strom umwandeln."
Geben Sie jeweils eine Definition für zwei in der Biologie verwendete Artbegriffe an.,"Nach dem biologischen Artbegriff gehören Lebewesen zu einer Art, wenn sie sich untereinander fortpflanzen können und dabei fruchtbare Nachkommen bekommen. Ein anderer Ansatz ist der ökologische Artbegriff. Er beschreibt eine Art als eine Gruppe von Lebewesen, die die gleiche Rolle in ihrer Umwelt hat, also zum Beispiel den gleichen Lebensräume hat.",correct,"Evaluation Criteria: Der Schüler gibt jeweils eine Definition für zwei in der Biologie verwendete Artbegriffe an, z. B.: Nach dem morphologischen Artbegriff gehören alle Individuen, die in ihren wesentlichen Merkmalen übereinstimmen, zu einer Art. Nach dem biologischen Artbegriff gehören alle Individuen, die sich potenziell fruchtbar fortpflanzen können, zu einer Art. (Die korrekte Definition alternativer Artbegriffe ist zulässig.). Sample Solution: Der morphologische Artbegriff sagt, dass eine Art eine Gruppe von Lebewesen ist, die sich im Aussehen klar von anderen Gruppen unterscheidet. Der biologische Artbegriff meint, dass alle Lebewesen zu einer Art gehören, die sich miteinander fortpflanzen können und dabei gesunde, fruchtbare Nachkommen bekommen."
"Stellen Sie eine Hypothese auf, weshalb auch Pflanzen Mitochondrien besitzen, obwohl sie durch die Photosynthese in der Lage sind, Lichtenergie in chemische Energie in der Form von ATP umzuwandeln! ","Pflanzen haben Mitochondrien, weil sie auch Energie brauchen dort, wo sie kein Licht bekommen. Außerdem gibt es nachts auch kein Licht, ",correct,"Evaluation Criteria: Der Schüler erläutert, dass alle lebenden Zellen der Pflanze Zellatmung betreiben. Er erklärt, dass die Photosynthese eine lichtabhängige Reaktion ist und daher in Dunkelheit oder bei geringer Lichtintensität keine Energie liefern kann. Er beschreibt, dass Pflanzen auch in lichtarmen Zeiten oder Bereichen Energie benötigen. Er führt aus, dass z. B. Wurzelzellen, die kein Licht erhalten, ebenfalls auf Mitochondrien zur Energiegewinnung angewiesen sind.. Sample Solution: "
Warum spricht man beim Menschen von einem doppelten Blutkreislauf?,Weil es einen Lungen- und einen Körperkreislauf gibt. ,correct,"Evaluation Criteria: Der Schüler erklärt, dass man von einem doppelten Blutkreislauf spricht, weil es einen Lungenkreislauf und einen Körperkreislauf gibt.. Sample Solution: Der Blutkreislauf des Menschen ist in zwei Teilkreisläufe unterteilt: Man unterscheidet den Lungenkreislauf und den Körperkreislauf. Deshalb spricht man von einem doppelten Blutkreislauf"
